Macronutrient_Type,bioavail_incr_pcnt,C_i,Code
Starch-Seed,23,1.23,S
Starch-USO,124,2.24,U
Starch-Legume,14,1.14,L
Protein,12.7,1.13,P
Fat,3.71,1.04,F
Other,0,1,N
